Feature	masked
lh_cort.destrieux_g.and.s.cingul.ant	0.0
rh_cort.destrieux_g.and.s.cingul.ant	0.0
lh_cort.destrieux_g.and.s.cingul.mid.ant	0.0
rh_cort.destrieux_g.and.s.cingul.mid.ant	0.0
lh_cort.destrieux_g.and.s.cingul.mid.post	0.0
rh_cort.destrieux_g.and.s.cingul.mid.post	-0.2098
lh_cort.destrieux_g.and.s.frontomargin	0.3773
rh_cort.destrieux_g.and.s.frontomargin	0.2412
lh_cort.destrieux_g.and.s.occipital.inf	0.0
rh_cort.destrieux_g.and.s.occipital.inf	-0.2609
lh_cort.destrieux_g.and.s.paracentral	0.0
rh_cort.destrieux_g.and.s.paracentral	0.0
lh_cort.destrieux_g.and.s.subcentral	0.0
rh_cort.destrieux_g.and.s.subcentral	0.0
lh_cort.destrieux_g.and.s.transv.frontopol	0.0
rh_cort.destrieux_g.and.s.transv.frontopol	0.0
lh_cort.destrieux_g.cingul.post.dorsal	0.0
rh_cort.destrieux_g.cingul.post.dorsal	0.0
lh_cort.destrieux_g.cingul.post.ventral	0.0
rh_cort.destrieux_g.cingul.post.ventral	-0.2399
lh_cort.destrieux_g.cuneus	0.0
rh_cort.destrieux_g.cuneus	-0.2044
lh_cort.destrieux_g.front.inf.opercular	0.0
rh_cort.destrieux_g.front.inf.opercular	0.0
lh_cort.destrieux_g.front.inf.orbital	0.0
rh_cort.destrieux_g.front.inf.orbital	0.0
lh_cort.destrieux_g.front.inf.triangul	0.0
rh_cort.destrieux_g.front.inf.triangul	0.0
lh_cort.destrieux_g.front.middle	-0.2374
rh_cort.destrieux_g.front.middle	0.0
lh_cort.destrieux_g.front.sup	-0.4434
rh_cort.destrieux_g.front.sup	-0.4037
lh_cort.destrieux_g.ins.lg.and.s.cent.ins	-0.3138
rh_cort.destrieux_g.ins.lg.and.s.cent.ins	0.0
lh_cort.destrieux_g.insular.short	-0.2197
rh_cort.destrieux_g.insular.short	-0.2689
lh_cort.destrieux_g.occipital.middle	0.0
rh_cort.destrieux_g.occipital.middle	0.0
lh_cort.destrieux_g.occipital.sup	0.0
rh_cort.destrieux_g.occipital.sup	0.0
lh_cort.destrieux_g.oc.temp.lat.fusifor	0.0
rh_cort.destrieux_g.oc.temp.lat.fusifor	-0.2715
lh_cort.destrieux_g.oc.temp.med.lingual	0.0
rh_cort.destrieux_g.oc.temp.med.lingual	0.0
lh_cort.destrieux_g.oc.temp.med.parahip	0.0
rh_cort.destrieux_g.oc.temp.med.parahip	0.0
lh_cort.destrieux_g.orbital	0.2543
rh_cort.destrieux_g.orbital	0.2267
lh_cort.destrieux_g.parietal.sup	0.0
rh_cort.destrieux_g.parietal.sup	0.0
lh_cort.destrieux_g.pariet.inf.angular	0.0
rh_cort.destrieux_g.pariet.inf.angular	0.0
lh_cort.destrieux_g.pariet.inf.supramar	0.0
rh_cort.destrieux_g.pariet.inf.supramar	0.0
lh_cort.destrieux_g.postcentral	-0.2257
rh_cort.destrieux_g.postcentral	0.0
lh_cort.destrieux_g.precentral	-0.2973
rh_cort.destrieux_g.precentral	-0.3122
lh_cort.destrieux_g.precuneus	0.0
rh_cort.destrieux_g.precuneus	0.0
lh_cort.destrieux_g.rectus	0.2521
rh_cort.destrieux_g.rectus	0.6029
lh_cort.destrieux_g.subcallosal	0.0
rh_cort.destrieux_g.subcallosal	0.0
lh_cort.destrieux_g.temporal.inf	0.436
rh_cort.destrieux_g.temporal.inf	0.2179
lh_cort.destrieux_g.temporal.middle	0.0
rh_cort.destrieux_g.temporal.middle	0.0
lh_cort.destrieux_g.temp.sup.g.t.transv	-0.2411
rh_cort.destrieux_g.temp.sup.g.t.transv	-0.2574
lh_cort.destrieux_g.temp.sup.lateral	-0.224
rh_cort.destrieux_g.temp.sup.lateral	0.0
lh_cort.destrieux_g.temp.sup.plan.polar	0.0
rh_cort.destrieux_g.temp.sup.plan.polar	0.0
lh_cort.destrieux_g.temp.sup.plan.tempo	0.0
rh_cort.destrieux_g.temp.sup.plan.tempo	0.0
lh_cort.destrieux_lat.fis.ant.horizont	0.0
rh_cort.destrieux_lat.fis.ant.horizont	0.0
lh_cort.destrieux_lat.fis.ant.vertical	-0.2028
rh_cort.destrieux_lat.fis.ant.vertical	-0.2221
lh_cort.destrieux_lat.fis.post	0.0
rh_cort.destrieux_lat.fis.post	0.0
lh_cort.destrieux_pole.occipital	0.0
rh_cort.destrieux_pole.occipital	0.0
lh_cort.destrieux_pole.temporal	0.0
rh_cort.destrieux_pole.temporal	0.0
lh_cort.destrieux_s.calcarine	-0.244
rh_cort.destrieux_s.calcarine	0.0
lh_cort.destrieux_s.central	0.0
rh_cort.destrieux_s.central	0.0
lh_cort.destrieux_s.cingul.marginalis	0.0
rh_cort.destrieux_s.cingul.marginalis	0.0
lh_cort.destrieux_s.circular.insula.ant	0.0
rh_cort.destrieux_s.circular.insula.ant	0.0
lh_cort.destrieux_s.circular.insula.inf	0.0
rh_cort.destrieux_s.circular.insula.inf	-0.2854
lh_cort.destrieux_s.circular.insula.sup	0.0
rh_cort.destrieux_s.circular.insula.sup	0.0
lh_cort.destrieux_s.collat.transv.ant	0.0
rh_cort.destrieux_s.collat.transv.ant	0.0
lh_cort.destrieux_s.collat.transv.post	0.0
rh_cort.destrieux_s.collat.transv.post	0.0
lh_cort.destrieux_s.front.inf	0.0
rh_cort.destrieux_s.front.inf	0.0
lh_cort.destrieux_s.front.middle	-0.2157
rh_cort.destrieux_s.front.middle	0.0
lh_cort.destrieux_s.front.sup	-0.3044
rh_cort.destrieux_s.front.sup	-0.2779
lh_cort.destrieux_s.interm.prim.jensen	0.0
rh_cort.destrieux_s.interm.prim.jensen	0.0
lh_cort.destrieux_s.intrapariet.and.p.trans	0.0
rh_cort.destrieux_s.intrapariet.and.p.trans	0.0
lh_cort.destrieux_s.occipital.ant	-0.2733
rh_cort.destrieux_s.occipital.ant	0.0
lh_cort.destrieux_s.oc.middle.and.lunatus	0.0
rh_cort.destrieux_s.oc.middle.and.lunatus	0.0
lh_cort.destrieux_s.oc.sup.and.transversal	-0.2174
rh_cort.destrieux_s.oc.sup.and.transversal	0.0
lh_cort.destrieux_s.oc.temp.lat	0.0
rh_cort.destrieux_s.oc.temp.lat	-0.3063
lh_cort.destrieux_s.oc.temp.med.and.lingual	0.0
rh_cort.destrieux_s.oc.temp.med.and.lingual	-0.2039
lh_cort.destrieux_s.orbital.h.shaped	0.2124
rh_cort.destrieux_s.orbital.h.shaped	0.0
lh_cort.destrieux_s.orbital.lateral	0.0
rh_cort.destrieux_s.orbital.lateral	0.0
lh_cort.destrieux_s.orbital.med.olfact	0.0
rh_cort.destrieux_s.orbital.med.olfact	0.2328
lh_cort.destrieux_s.parieto.occipital	-0.2126
rh_cort.destrieux_s.parieto.occipital	-0.337
lh_cort.destrieux_s.pericallosal	0.0
rh_cort.destrieux_s.pericallosal	0.0
lh_cort.destrieux_s.postcentral	0.0
rh_cort.destrieux_s.postcentral	0.0
lh_cort.destrieux_s.precentral.inf.part	0.0
rh_cort.destrieux_s.precentral.inf.part	0.0
lh_cort.destrieux_s.precentral.sup.part	0.0
rh_cort.destrieux_s.precentral.sup.part	-0.2574
lh_cort.destrieux_s.suborbital	0.0
rh_cort.destrieux_s.suborbital	0.0
lh_cort.destrieux_s.subparietal	0.0
rh_cort.destrieux_s.subparietal	0.0
lh_cort.destrieux_s.temporal.inf	0.0
rh_cort.destrieux_s.temporal.inf	0.0
lh_cort.destrieux_s.temporal.sup	-0.2419
rh_cort.destrieux_s.temporal.sup	-0.349
lh_cort.destrieux_s.temporal.transverse	0.0
rh_cort.destrieux_s.temporal.transverse	0.0
lh_subcort.aseg_accumbens.area	0.0
rh_subcort.aseg_accumbens.area	0.0
lh_subcort.aseg_amygdala	0.0
rh_subcort.aseg_amygdala	-0.4541
subcort.aseg_brain.stem	0.0
lh_subcort.aseg_caudate	0.0
rh_subcort.aseg_caudate	0.0
lh_subcort.aseg_cerebellum.cortex	0.2503
rh_subcort.aseg_cerebellum.cortex	0.2107
lh_subcort.aseg_hippocampus	-0.2075
rh_subcort.aseg_hippocampus	0.0
lh_subcort.aseg_inf.lat.vent	0.0
rh_subcort.aseg_inf.lat.vent	0.0
lh_subcort.aseg_pallidum	0.0
rh_subcort.aseg_pallidum	0.0
lh_subcort.aseg_putamen	-0.212
rh_subcort.aseg_putamen	0.0
lh_subcort.aseg_thalamus.proper	0.0
rh_subcort.aseg_thalamus.proper	0.0
lh_subcort.aseg_ventraldc	0.0
rh_subcort.aseg_ventraldc	0.0
