unknown,unknown
left-cerebral-exterior,left-cerebral-exterior
left.cerebral.exterior,left-cerebral-exterior
leftcerebralexterior,left-cerebral-exterior
left-cerebral-white-matter,left-cerebral-white-matter
left.cerebral.white.matter,left-cerebral-white-matter
leftcerebralwhitematter,left-cerebral-white-matter
left-cerebral-cortex,left-cerebral-cortex
left.cerebral.cortex,left-cerebral-cortex
leftcerebralcortex,left-cerebral-cortex
left-lateral-ventricle,left-lateral-ventricle
left.lateral.ventricle,left-lateral-ventricle
leftlateralventricle,left-lateral-ventricle
left-inf-lat-vent,left-inf-lat-vent
left.inf.lat.vent,left-inf-lat-vent
leftinflatvent,left-inf-lat-vent
left-cerebellum-exterior,left-cerebellum-exterior
left.cerebellum.exterior,left-cerebellum-exterior
leftcerebellumexterior,left-cerebellum-exterior
left-cerebellum-white-matter,left-cerebellum-white-matter
left.cerebellum.white.matter,left-cerebellum-white-matter
leftcerebellumwhitematter,left-cerebellum-white-matter
left-cerebellum-cortex,left-cerebellum-cortex
left.cerebellum.cortex,left-cerebellum-cortex
leftcerebellumcortex,left-cerebellum-cortex
left-thalamus,left-thalamus
left.thalamus,left-thalamus
leftthalamus,left-thalamus
left-thalamus-proper,left-thalamus-proper
left.thalamus.proper,left-thalamus-proper
leftthalamusproper,left-thalamus-proper
left-caudate,left-caudate
left.caudate,left-caudate
leftcaudate,left-caudate
left-putamen,left-putamen
left.putamen,left-putamen
leftputamen,left-putamen
left-pallidum,left-pallidum
left.pallidum,left-pallidum
leftpallidum,left-pallidum
3rd-ventricle,3rd-ventricle
3rd.ventricle,3rd-ventricle
3rdventricle,3rd-ventricle
4th-ventricle,4th-ventricle
4th.ventricle,4th-ventricle
4thventricle,4th-ventricle
brain-stem,brain-stem
brain.stem,brain-stem
brainstem,brainstem
left-hippocampus,left-hippocampus
left.hippocampus,left-hippocampus
lefthippocampus,left-hippocampus
left-amygdala,left-amygdala
left.amygdala,left-amygdala
leftamygdala,left-amygdala
left-insula,left-insula
left.insula,left-insula
leftinsula,left-insula
left-operculum,left-operculum
left.operculum,left-operculum
leftoperculum,left-operculum
line-1,line-1
line.1,line-1
line1,line-1
line-2,line-2
line.2,line-2
line2,line-2
line-3,line-3
line.3,line-3
line3,line-3
csf,csf
left-lesion,left-lesion
left.lesion,left-lesion
leftlesion,left-lesion
left-accumbens-area,left-accumbens-area
left.accumbens.area,left-accumbens-area
leftaccumbensarea,left-accumbens-area
left-substancia-nigra,left-substancia-nigra
left.substancia.nigra,left-substancia-nigra
leftsubstancianigra,left-substancia-nigra
left-ventraldc,left-ventraldc
left.ventraldc,left-ventraldc
leftventraldc,left-ventraldc
left-undetermined,left-undetermined
left.undetermined,left-undetermined
leftundetermined,left-undetermined
left-vessel,left-vessel
left.vessel,left-vessel
leftvessel,left-vessel
left-choroid-plexus,left-choroid-plexus
left.choroid.plexus,left-choroid-plexus
leftchoroidplexus,left-choroid-plexus
left-f3orb,left-f3orb
left.f3orb,left-f3orb
leftf3orb,left-f3orb
left-log,left-log
left.log,left-log
leftlog,left-log
left-aog,left-aog
left.aog,left-aog
leftaog,left-aog
left-mog,left-mog
left.mog,left-mog
leftmog,left-mog
left-pog,left-pog
left.pog,left-pog
leftpog,left-pog
left-stellate,left-stellate
left.stellate,left-stellate
leftstellate,left-stellate
left-porg,left-porg
left.porg,left-porg
leftporg,left-porg
left-aorg,left-aorg
left.aorg,left-aorg
leftaorg,left-aorg
right-cerebral-exterior,right-cerebral-exterior
right.cerebral.exterior,right-cerebral-exterior
rightcerebralexterior,right-cerebral-exterior
right-cerebral-white-matter,right-cerebral-white-matter
right.cerebral.white.matter,right-cerebral-white-matter
rightcerebralwhitematter,right-cerebral-white-matter
right-cerebral-cortex,right-cerebral-cortex
right.cerebral.cortex,right-cerebral-cortex
rightcerebralcortex,right-cerebral-cortex
right-lateral-ventricle,right-lateral-ventricle
right.lateral.ventricle,right-lateral-ventricle
rightlateralventricle,right-lateral-ventricle
right-inf-lat-vent,right-inf-lat-vent
right.inf.lat.vent,right-inf-lat-vent
rightinflatvent,right-inf-lat-vent
right-cerebellum-exterior,right-cerebellum-exterior
right.cerebellum.exterior,right-cerebellum-exterior
